##ENCODING: csv
##X-Sampling: StartIndex,StepSize,NumberOfSteps
#26,4,15
##Y-Sampling: StartIndex,StepSize,NumberOfSteps
#13,4,15
##xindex,yindex,xcoord/m,ycoord/m,current/A
1,36,2.0E-6,7.2E-5,9.252739557136572E-10
1,37,2.0E-6,7.4E-5,9.25323153573063E-10
1,38,2.0E-6,7.599999999999999E-5,9.253290551701438E-10
1,39,2.0E-6,7.8E-5,9.254154541411804E-10
1,40,2.0E-6,7.999999999999999E-5,9.254448782176229E-10
1,41,2.0E-6,8.2E-5,9.254395998557981E-10
1,42,2.0E-6,8.4E-5,9.254613619935565E-10
1,43,2.0E-6,8.599999999999999E-5,9.255408532172763E-10
1,44,2.0E-6,8.8E-5,9.254745511688806E-10
1,45,2.0E-6,8.999999999999999E-5,9.254563599713968E-10
1,46,2.0E-6,9.2E-5,9.254479119390154E-10
1,47,2.0E-6,9.4E-5,9.254958579783006E-10
1,48,2.0E-6,9.6E-5,9.25534027563638E-10
1,49,2.0E-6,9.8E-5,9.254055295737127E-10
1,50,2.0E-6,9.999999999999999E-5,9.253393529500251E-10
1,51,2.0E-6,1.02E-4,9.253716998992672E-10
1,52,2.0E-6,1.04E-4,9.253675401325772E-10
1,53,2.0E-6,1.06E-4,9.252417390476696E-10
1,54,2.0E-6,1.08E-4,9.252090557439503E-10
1,55,2.0E-6,1.0999999999999999E-4,9.251743088958479E-10
1,56,2.0E-6,1.12E-4,9.251671510662957E-10
1,57,2.0E-6,1.1399999999999999E-4,9.249937528730956E-10
1,58,2.0E-6,1.16E-4,9.249765444456301E-10
1,59,2.0E-6,1.18E-4,9.249390153087329E-10
1,60,2.0E-6,1.1999999999999999E-4,9.248903176601883E-10
1,61,2.0E-6,1.22E-4,9.24793252595399E-10
1,62,2.0E-6,1.24E-4,9.24706009219798E-10
1,63,2.0E-6,1.26E-4,9.246657118296478E-10
1,64,2.0E-6,1.28E-4,9.245920352508295E-10
1,65,2.0E-6,1.3E-4,9.244914847640443E-10
1,66,2.0E-6,1.3199999999999998E-4,9.243985046511884E-10
1,67,2.0E-6,1.34E-4,9.243349791457358E-10
1,68,2.0E-6,1.36E-4,9.242449929662544E-10
1,69,2.0E-6,1.38E-4,9.241725790099339E-10
1,70,2.0E-6,1.4E-4,9.240874461597926E-10
